invoiceno,customerid,invoicedate,total_amount
536365,17850.0,2010-01-12 08:26:00,15.299999999999999
536365,17850.0,2010-01-12 08:26:00,20.34
536365,17850.0,2010-01-12 08:26:00,22.0
536365,17850.0,2010-01-12 08:26:00,20.34
536365,17850.0,2010-01-12 08:26:00,20.34
536365,17850.0,2010-01-12 08:26:00,15.3
536365,17850.0,2010-01-12 08:26:00,25.5
536366,17850.0,2010-01-12 08:28:00,11.100000000000001
536366,17850.0,2010-01-12 08:28:00,11.100000000000001
536367,13047.0,2010-01-12 08:34:00,54.08
536367,13047.0,2010-01-12 08:34:00,12.600000000000001
536367,13047.0,2010-01-12 08:34:00,12.600000000000001
536367,13047.0,2010-01-12 08:34:00,30.0
536367,13047.0,2010-01-12 08:34:00,9.899999999999999
536367,13047.0,2010-01-12 08:34:00,25.5
536367,13047.0,2010-01-12 08:34:00,14.850000000000001
536367,13047.0,2010-01-12 08:34:00,19.9
536367,13047.0,2010-01-12 08:34:00,17.85
536367,13047.0,2010-01-12 08:34:00,17.85
536367,13047.0,2010-01-12 08:34:00,31.8
536367,13047.0,2010-01-12 08:34:00,31.8
536368,13047.0,2010-01-12 08:34:00,25.5
536368,13047.0,2010-01-12 08:34:00,14.850000000000001
536368,13047.0,2010-01-12 08:34:00,14.850000000000001
536368,13047.0,2010-01-12 08:34:00,14.850000000000001
536369,13047.0,2010-01-12 08:35:00,17.85
536370,12583.0,2010-01-12 08:45:00,90.0
536370,12583.0,2010-01-12 08:45:00,90.0
536370,12583.0,2010-01-12 08:45:00,45.0
536370,12583.0,2010-01-12 08:45:00,10.2
536370,12583.0,2010-01-12 08:45:00,15.600000000000001
536370,12583.0,2010-01-12 08:45:00,40.8
536370,12583.0,2010-01-12 08:45:00,30.0
536370,12583.0,2010-01-12 08:45:00,53.1
536370,12583.0,2010-01-12 08:45:00,70.80000000000001
536370,12583.0,2010-01-12 08:45:00,46.8
536370,12583.0,2010-01-12 08:45:00,46.8
536370,12583.0,2010-01-12 08:45:00,46.8
536370,12583.0,2010-01-12 08:45:00,17.0
536370,12583.0,2010-01-12 08:45:00,39.599999999999994
536370,12583.0,2010-01-12 08:45:00,70.80000000000001
536370,12583.0,2010-01-12 08:45:00,45.0
536370,12583.0,2010-01-12 08:45:00,10.08
536370,12583.0,2010-01-12 08:45:00,10.08
536370,12583.0,2010-01-12 08:45:00,23.400000000000002
536370,12583.0,2010-01-12 08:45:00,54.0
536371,13748.0,2010-01-12 09:00:00,204.0
536372,17850.0,2010-01-12 09:01:00,11.100000000000001
536372,17850.0,2010-01-12 09:01:00,11.100000000000001
536373,17850.0,2010-01-12 09:02:00,15.299999999999999
536373,17850.0,2010-01-12 09:02:00,20.34
536373,17850.0,2010-01-12 09:02:00,22.0
536373,17850.0,2010-01-12 09:02:00,29.700000000000003
536373,17850.0,2010-01-12 09:02:00,6.36
536373,17850.0,2010-01-12 09:02:00,6.36
536373,17850.0,2010-01-12 09:02:00,6.36
536373,17850.0,2010-01-12 09:02:00,6.36
536373,17850.0,2010-01-12 09:02:00,9.9
536373,17850.0,2010-01-12 09:02:00,27.8
536373,17850.0,2010-01-12 09:02:00,12.600000000000001
536373,17850.0,2010-01-12 09:02:00,15.299999999999999
536373,17850.0,2010-01-12 09:02:00,20.34
536373,17850.0,2010-01-12 09:02:00,20.34
536373,17850.0,2010-01-12 09:02:00,15.3
536373,17850.0,2010-01-12 09:02:00,25.5
536374,15100.0,2010-01-12 09:09:00,350.4
536375,17850.0,2010-01-12 09:32:00,15.299999999999999
536375,17850.0,2010-01-12 09:32:00,20.34
536375,17850.0,2010-01-12 09:32:00,22.0
536375,17850.0,2010-01-12 09:32:00,29.700000000000003
536375,17850.0,2010-01-12 09:32:00,6.36
536375,17850.0,2010-01-12 09:32:00,6.36
536375,17850.0,2010-01-12 09:32:00,6.36
536375,17850.0,2010-01-12 09:32:00,6.36
536375,17850.0,2010-01-12 09:32:00,9.9
536375,17850.0,2010-01-12 09:32:00,27.8
536375,17850.0,2010-01-12 09:32:00,12.600000000000001
536375,17850.0,2010-01-12 09:32:00,15.299999999999999
536375,17850.0,2010-01-12 09:32:00,20.34
536375,17850.0,2010-01-12 09:32:00,20.34
536375,17850.0,2010-01-12 09:32:00,15.3
536375,17850.0,2010-01-12 09:32:00,25.5
536376,15291.0,2010-01-12 09:32:00,165.60000000000002
536376,15291.0,2010-01-12 09:32:00,163.2
536377,17850.0,2010-01-12 09:34:00,11.100000000000001
536377,17850.0,2010-01-12 09:34:00,11.100000000000001
536378,14688.0,2010-01-12 09:37:00,19.5
536378,14688.0,2010-01-12 09:37:00,19.5
536378,14688.0,2010-01-12 09:37:00,29.5
536378,14688.0,2010-01-12 09:37:00,8.5
536378,14688.0,2010-01-12 09:37:00,45.0
536378,14688.0,2010-01-12 09:37:00,22.5
536378,14688.0,2010-01-12 09:37:00,10.2
536378,14688.0,2010-01-12 09:37:00,16.5
536378,14688.0,2010-01-12 09:37:00,15.299999999999999
536378,14688.0,2010-01-12 09:37:00,15.299999999999999
536378,14688.0,2010-01-12 09:37:00,50.4
536378,14688.0,2010-01-12 09:37:00,13.200000000000001
536378,14688.0,2010-01-12 09:37:00,13.200000000000001
536378,14688.0,2010-01-12 09:37:00,13.200000000000001
536378,14688.0,2010-01-12 09:37:00,17.700000000000003
536378,14688.0,2010-01-12 09:37:00,60.0
536378,14688.0,2010-01-12 09:37:00,36.480000000000004
536378,14688.0,2010-01-12 09:37:00,19.5
536378,14688.0,2010-01-12 09:37:00,19.5
536380,17809.0,2010-01-12 09:41:00,34.8
536381,15311.0,2010-01-12 09:41:00,97.75
536381,15311.0,2010-01-12 09:41:00,24.75
536381,15311.0,2010-01-12 09:41:00,19.5
536381,15311.0,2010-01-12 09:41:00,4.2
536381,15311.0,2010-01-12 09:41:00,7.5
536381,15311.0,2010-01-12 09:41:00,30.0
536381,15311.0,2010-01-12 09:41:00,30.0
536381,15311.0,2010-01-12 09:41:00,1.25
536381,15311.0,2010-01-12 09:41:00,0.85
536381,15311.0,2010-01-12 09:41:00,2.55
536381,15311.0,2010-01-12 09:41:00,16.5
536381,15311.0,2010-01-12 09:41:00,5.07
536381,15311.0,2010-01-12 09:41:00,1.95
536381,15311.0,2010-01-12 09:41:00,4.2
536381,15311.0,2010-01-12 09:41:00,2.95
536381,15311.0,2010-01-12 09:41:00,2.95
536381,15311.0,2010-01-12 09:41:00,11.8
536381,15311.0,2010-01-12 09:41:00,2.95
536381,15311.0,2010-01-12 09:41:00,5.1
536381,15311.0,2010-01-12 09:41:00,3.75
536381,15311.0,2010-01-12 09:41:00,5.1
536381,15311.0,2010-01-12 09:41:00,0.85
536381,15311.0,2010-01-12 09:41:00,0.85
536381,15311.0,2010-01-12 09:41:00,1.45
536381,15311.0,2010-01-12 09:41:00,4.95
536381,15311.0,2010-01-12 09:41:00,5.9
536381,15311.0,2010-01-12 09:41:00,11.9
536381,15311.0,2010-01-12 09:41:00,11.9
536381,15311.0,2010-01-12 09:41:00,5.8
536381,15311.0,2010-01-12 09:41:00,2.95
536381,15311.0,2010-01-12 09:41:00,1.95
536381,15311.0,2010-01-12 09:41:00,3.3
536381,15311.0,2010-01-12 09:41:00,11.850000000000001
536381,15311.0,2010-01-12 09:41:00,38.160000000000004
536381,15311.0,2010-01-12 09:41:00,67.5
536382,16098.0,2010-01-12 09:45:00,10.2
536382,16098.0,2010-01-12 09:45:00,30.0
536382,16098.0,2010-01-12 09:45:00,19.799999999999997
536382,16098.0,2010-01-12 09:45:00,19.5
536382,16098.0,2010-01-12 09:45:00,21.0
536382,16098.0,2010-01-12 09:45:00,92.5
536382,16098.0,2010-01-12 09:45:00,23.6
536382,16098.0,2010-01-12 09:45:00,15.0
536382,16098.0,2010-01-12 09:45:00,71.4
536382,16098.0,2010-01-12 09:45:00,29.9
536382,16098.0,2010-01-12 09:45:00,29.9
536382,16098.0,2010-01-12 09:45:00,67.8
536384,18074.0,2010-01-12 09:53:00,19.35
536384,18074.0,2010-01-12 09:53:00,31.200000000000003
536384,18074.0,2010-01-12 09:53:00,19.799999999999997
536384,18074.0,2010-01-12 09:53:00,17.700000000000003
536384,18074.0,2010-01-12 09:53:00,35.400000000000006
536384,18074.0,2010-01-12 09:53:00,58.0
536384,18074.0,2010-01-12 09:53:00,102.0
536384,18074.0,2010-01-12 09:53:00,17.700000000000003
536384,18074.0,2010-01-12 09:53:00,25.5
536384,18074.0,2010-01-12 09:53:00,15.8
536384,18074.0,2010-01-12 09:53:00,17.85
536384,18074.0,2010-01-12 09:53:00,41.7
536384,18074.0,2010-01-12 09:53:00,87.6
536385,17420.0,2010-01-12 09:56:00,19.95
536385,17420.0,2010-01-12 09:56:00,17.4
536385,17420.0,2010-01-12 09:56:00,25.5
536385,17420.0,2010-01-12 09:56:00,19.5
536385,17420.0,2010-01-12 09:56:00,15.0
